matrix_id,origin_poi_id,dest_poi_id,mode,minutes,distance_km,carbon_kg,cost,currency,bearing_deg,updated_at
ptm_dcc899fe,poi_bf6716e9,poi_443a14c5,cab,48,13.619,2.329,259.53,INR,107,2026-08-18T10:00:00+05:30
ptm_8c615e49,poi_bf6716e9,poi_364cac5a,cab,62,18.118,3.098,336.01,INR,125,2026-08-18T10:00:00+05:30
ptm_49f4ca94,poi_bf6716e9,poi_5252b3dc,walk,44,3.29,0,0.00,INR,47,2026-08-18T10:00:00+05:30
ptm_d95accc3,poi_bf6716e9,poi_5252b3dc,cab,15,3.29,0.563,83.93,INR,47,2026-08-18T10:00:00+05:30
ptm_0f0c88c9,poi_e68abae6,poi_7f6561ec,cab,23,5.73,0.98,125.40,INR,95,2026-08-18T10:00:00+05:30
ptm_a8f67225,poi_e68abae6,poi_afcb7beb,cab,28,7.352,1.257,152.99,INR,105,2026-08-18T10:00:00+05:30
ptm_c5861aaf,poi_e68abae6,poi_bf6716e9,cab,27,7.267,1.243,151.53,INR,331,2026-08-18T10:00:00+05:30
ptm_6ba0b711,poi_e68abae6,poi_fe8a867b,walk,42,3.077,0,0.00,INR,2,2026-08-18T10:00:00+05:30
ptm_693888a8,poi_e68abae6,poi_fe8a867b,cab,14,3.077,0.526,80.30,INR,2,2026-08-18T10:00:00+05:30
ptm_9c9e76f0,poi_e68abae6,poi_c192ae9d,cab,21,5.179,0.886,116.05,INR,200,2026-08-18T10:00:00+05:30
ptm_71db4c32,poi_e68abae6,poi_cd4eb948,cab,39,10.956,1.873,214.24,INR,95,2026-08-18T10:00:00+05:30
ptm_02d7736b,poi_e68abae6,poi_443a14c5,cab,35,9.804,1.676,194.66,INR,76,2026-08-18T10:00:00+05:30
ptm_5e80eb59,poi_e68abae6,poi_364cac5a,cab,42,12.011,2.054,232.19,INR,109,2026-08-18T10:00:00+05:30
ptm_76a5caa7,poi_e68abae6,poi_5252b3dc,cab,32,8.651,1.479,175.07,INR,352,2026-08-18T10:00:00+05:30
ptm_c32c0952,poi_fe8a867b,poi_7f6561ec,cab,25,6.634,1.134,140.77,INR,122,2026-08-18T10:00:00+05:30
ptm_deb27ecb,poi_fe8a867b,poi_afcb7beb,cab,32,8.577,1.467,173.80,INR,125,2026-08-18T10:00:00+05:30
ptm_64060d98,poi_fe8a867b,poi_bf6716e9,cab,20,4.903,0.838,111.35,INR,312,2026-08-18T10:00:00+05:30
ptm_f2342ae6,poi_fe8a867b,poi_e68abae6,walk,42,3.077,0,0.00,INR,182,2026-08-18T10:00:00+05:30
ptm_f766843d,poi_fe8a867b,poi_e68abae6,cab,14,3.077,0.526,80.30,INR,182,2026-08-18T10:00:00+05:30
ptm_607d0351,poi_fe8a867b,poi_c192ae9d,cab,30,8.162,1.396,166.76,INR,193,2026-08-18T10:00:00+05:30
ptm_6fe86b34,poi_fe8a867b,poi_cd4eb948,cab,41,11.514,1.969,223.73,INR,110,2026-08-18T10:00:00+05:30
ptm_04686eeb,poi_fe8a867b,poi_443a14c5,cab,34,9.412,1.609,188.00,INR,94,2026-08-18T10:00:00+05:30
ptm_e2eecd9e,poi_fe8a867b,poi_364cac5a,cab,46,13.264,2.268,253.49,INR,122,2026-08-18T10:00:00+05:30
ptm_e961da58,poi_fe8a867b,poi_5252b3dc,cab,22,5.641,0.965,123.89,INR,347,2026-08-18T10:00:00+05:30
ptm_3392ad36,poi_c192ae9d,poi_7f6561ec,cab,32,8.666,1.482,175.31,INR,59,2026-08-18T10:00:00+05:30
ptm_7dff006a,poi_c192ae9d,poi_afcb7beb,cab,34,9.357,1.6,187.07,INR,71,2026-08-18T10:00:00+05:30
ptm_d047bfab,poi_c192ae9d,poi_bf6716e9,cab,40,11.354,1.942,221.02,INR,351,2026-08-18T10:00:00+05:30
ptm_63e4ed44,poi_c192ae9d,poi_e68abae6,cab,21,5.179,0.886,116.05,INR,20,2026-08-18T10:00:00+05:30
ptm_374227ed,poi_c192ae9d,poi_fe8a867b,cab,30,8.162,1.396,166.76,INR,13,2026-08-18T10:00:00+05:30
ptm_3e85253e,poi_c192ae9d,poi_cd4eb948,cab,46,13.292,2.273,253.97,INR,72,2026-08-18T10:00:00+05:30
ptm_7f04602f,poi_c192ae9d,poi_443a14c5,cab,47,13.418,2.294,256.11,INR,57,2026-08-18T10:00:00+05:30
ptm_07b0fdf6,poi_c192ae9d,poi_364cac5a,cab,46,13.112,2.242,250.90,INR,86,2026-08-18T10:00:00+05:30
ptm_eddd25d3,poi_c192ae9d,poi_5252b3dc,cab,47,13.462,2.302,256.86,INR,3,2026-08-18T10:00:00+05:30
ptm_55a78951,poi_cd4eb948,poi_7f6561ec,cab,21,5.226,0.894,116.84,INR,274,2026-08-18T10:00:00+05:30
ptm_5e694d9d,poi_cd4eb948,poi_afcb7beb,walk,53,3.942,0,0.00,INR,255,2026-08-18T10:00:00+05:30
ptm_6de89245,poi_cd4eb948,poi_afcb7beb,cab,17,3.942,0.674,95.01,INR,255,2026-08-18T10:00:00+05:30
ptm_a74de310,poi_cd4eb948,poi_bf6716e9,cab,56,16.172,2.765,302.92,INR,296,2026-08-18T10:00:00+05:30
ptm_320e4c80,poi_cd4eb948,poi_e68abae6,cab,39,10.956,1.873,214.24,INR,275,2026-08-18T10:00:00+05:30
ptm_36fbe99a,poi_cd4eb948,poi_fe8a867b,cab,41,11.514,1.969,223.73,INR,290,2026-08-18T10:00:00+05:30
ptm_b16e0242,poi_cd4eb948,poi_c192ae9d,cab,46,13.292,2.273,253.97,INR,252,2026-08-18T10:00:00+05:30
ptm_dd3987fa,poi_cd4eb948,poi_443a14c5,walk,49,3.606,0,0.00,INR,337,2026-08-18T10:00:00+05:30
ptm_7df47672,poi_cd4eb948,poi_443a14c5,cab,16,3.606,0.617,89.31,INR,337,2026-08-18T10:00:00+05:30
ptm_bb2f6b50,poi_cd4eb948,poi_364cac5a,walk,43,3.15,0,0.00,INR,173,2026-08-18T10:00:00+05:30
ptm_4b7e579c,poi_cd4eb948,poi_364cac5a,cab,14,3.15,0.539,81.55,INR,173,2026-08-18T10:00:00+05:30
ptm_40c7e534,poi_cd4eb948,poi_5252b3dc,cab,53,15.323,2.62,288.49,INR,308,2026-08-18T10:00:00+05:30
ptm_ed523121,poi_443a14c5,poi_7f6561ec,cab,20,4.776,0.817,109.19,INR,232,2026-08-18T10:00:00+05:30
ptm_2b6d331d,poi_443a14c5,poi_afcb7beb,cab,20,4.931,0.843,111.83,INR,209,2026-08-18T10:00:00+05:30
ptm_577d48da,poi_443a14c5,poi_bf6716e9,cab,48,13.619,2.329,259.53,INR,287,2026-08-18T10:00:00+05:30
ptm_f819d5ba,poi_443a14c5,poi_e68abae6,cab,35,9.804,1.676,194.66,INR,256,2026-08-18T10:00:00+05:30
ptm_d0befb96,poi_443a14c5,poi_fe8a867b,cab,34,9.412,1.609,188.00,INR,274,2026-08-18T10:00:00+05:30
ptm_9875c5ca,poi_443a14c5,poi_c192ae9d,cab,47,13.418,2.294,256.11,INR,237,2026-08-18T10:00:00+05:30
ptm_79d01a85,poi_443a14c5,poi_cd4eb948,walk,49,3.606,0,0.00,INR,157,2026-08-18T10:00:00+05:30
ptm_e78a3e14,poi_443a14c5,poi_cd4eb948,cab,16,3.606,0.617,89.31,INR,157,2026-08-18T10:00:00+05:30
ptm_c918536d,poi_443a14c5,poi_364cac5a,cab,26,6.692,1.144,141.77,INR,164,2026-08-18T10:00:00+05:30
ptm_0836d65f,poi_443a14c5,poi_5252b3dc,cab,43,12.28,2.1,236.76,INR,300,2026-08-18T10:00:00+05:30
ptm_7cb49e25,poi_364cac5a,poi_7f6561ec,cab,25,6.631,1.134,140.72,INR,302,2026-08-18T10:00:00+05:30
ptm_6230c536,poi_364cac5a,poi_afcb7beb,cab,19,4.721,0.807,108.26,INR,297,2026-08-18T10:00:00+05:30
ptm_a00d6070,poi_364cac5a,poi_bf6716e9,cab,62,18.118,3.098,336.01,INR,305,2026-08-18T10:00:00+05:30
ptm_518875de,poi_364cac5a,poi_e68abae6,cab,42,12.011,2.054,232.19,INR,289,2026-08-18T10:00:00+05:30
ptm_f548b711,poi_364cac5a,poi_fe8a867b,cab,46,13.264,2.268,253.49,INR,302,2026-08-18T10:00:00+05:30
ptm_9b00c5e7,poi_364cac5a,poi_c192ae9d,cab,46,13.112,2.242,250.90,INR,266,2026-08-18T10:00:00+05:30
ptm_3ecf4d7a,poi_364cac5a,poi_cd4eb948,walk,43,3.15,0,0.00,INR,353,2026-08-18T10:00:00+05:30
ptm_596774b4,poi_364cac5a,poi_cd4eb948,cab,14,3.15,0.539,81.55,INR,353,2026-08-18T10:00:00+05:30
ptm_4c671616,poi_364cac5a,poi_443a14c5,cab,26,6.692,1.144,141.77,INR,344,2026-08-18T10:00:00+05:30
ptm_960ed5ee,poi_364cac5a,poi_5252b3dc,cab,60,17.707,3.028,329.02,INR,315,2026-08-18T10:00:00+05:30
ptm_ea401342,poi_5252b3dc,poi_7f6561ec,cab,40,11.351,1.941,220.96,INR,143,2026-08-18T10:00:00+05:30
ptm_25ddf450,poi_5252b3dc,poi_afcb7beb,cab,47,13.316,2.277,254.37,INR,142,2026-08-18T10:00:00+05:30
ptm_b8fc9078,poi_5252b3dc,poi_bf6716e9,walk,44,3.29,0,0.00,INR,227,2026-08-18T10:00:00+05:30
ptm_91d5285a,poi_5252b3dc,poi_bf6716e9,cab,15,3.29,0.563,83.93,INR,227,2026-08-18T10:00:00+05:30
ptm_b30c4172,poi_5252b3dc,poi_e68abae6,cab,32,8.651,1.479,175.07,INR,172,2026-08-18T10:00:00+05:30
ptm_0a0db40f,poi_5252b3dc,poi_fe8a867b,cab,22,5.641,0.965,123.89,INR,167,2026-08-18T10:00:00+05:30
ptm_fc7e7eea,poi_5252b3dc,poi_c192ae9d,cab,47,13.462,2.302,256.86,INR,183,2026-08-18T10:00:00+05:30
ptm_9e5569e1,poi_5252b3dc,poi_cd4eb948,cab,53,15.323,2.62,288.49,INR,128,2026-08-18T10:00:00+05:30
ptm_4a369bcb,poi_5252b3dc,poi_443a14c5,cab,43,12.28,2.1,236.76,INR,120,2026-08-18T10:00:00+05:30
ptm_4ada26de,poi_5252b3dc,poi_364cac5a,cab,60,17.707,3.028,329.02,INR,135,2026-08-18T10:00:00+05:30
ptm_030529b2,poi_39c95ec6,poi_c0128d7d,walk,39,2.867,0,0.00,INR,358,2026-08-18T10:00:00+05:30
ptm_c9c22efd,poi_39c95ec6,poi_c0128d7d,cab,14,2.867,0.49,76.74,INR,358,2026-08-18T10:00:00+05:30
ptm_463277aa,poi_39c95ec6,poi_78eecc44,cab,25,6.36,1.088,136.12,INR,262,2026-08-18T10:00:00+05:30
ptm_afd94a99,poi_39c95ec6,poi_6949e353,cab,31,8.483,1.451,172.21,INR,209,2026-08-18T10:00:00+05:30
ptm_a9ec939a,poi_39c95ec6,poi_9e725958,cab,32,8.687,1.486,175.68,INR,337,2026-08-18T10:00:00+05:30
ptm_f0f672a5,poi_39c95ec6,poi_7d81053b,walk,42,3.079,0,0.00,INR,355,2026-08-18T10:00:00+05:30
ptm_24ceb173,poi_39c95ec6,poi_7d81053b,cab,14,3.079,0.527,80.34,INR,355,2026-08-18T10:00:00+05:30
ptm_797e2011,poi_39c95ec6,poi_3ca0d3de,cab,20,4.869,0.833,110.77,INR,332,2026-08-18T10:00:00+05:30
ptm_6bcde9ca,poi_39c95ec6,poi_d052fde5,walk,32,2.313,0,0.00,INR,281,2026-08-18T10:00:00+05:30
ptm_c78c160d,poi_39c95ec6,poi_d052fde5,cab,12,2.313,0.395,67.32,INR,281,2026-08-18T10:00:00+05:30
ptm_ae6ffc03,poi_39c95ec6,poi_1559dff8,cab,41,11.439,1.956,222.47,INR,243,2026-08-18T10:00:00+05:30
ptm_e99c397d,poi_39c95ec6,poi_6b45f5d8,cab,26,6.741,1.153,142.60,INR,300,2026-08-18T10:00:00+05:30
ptm_b762bd85,poi_c0128d7d,poi_39c95ec6,walk,39,2.867,0,0.00,INR,178,2026-08-18T10:00:00+05:30
ptm_1f15c64d,poi_c0128d7d,poi_39c95ec6,cab,14,2.867,0.49,76.74,INR,178,2026-08-18T10:00:00+05:30
ptm_ab10b2e0,poi_c0128d7d,poi_78eecc44,cab,27,7.223,1.235,150.80,INR,239,2026-08-18T10:00:00+05:30
ptm_54748d01,poi_c0128d7d,poi_6949e353,cab,39,11.042,1.888,215.71,INR,201,2026-08-18T10:00:00+05:30
ptm_75cfc64a,poi_c0128d7d,poi_9e725958,cab,24,6.087,1.041,131.48,INR,328,2026-08-18T10:00:00+05:30
ptm_6755b530,poi_c0128d7d,poi_7d81053b,walk,5,0.265,0,0.00,INR,319,2026-08-18T10:00:00+05:30
ptm_6442a8f3,poi_c0128d7d,poi_7d81053b,cab,5,0.265,0.045,32.50,INR,319,2026-08-18T10:00:00+05:30
ptm_ba2d20d6,poi_c0128d7d,poi_3ca0d3de,walk,35,2.591,0,0.00,INR,304,2026-08-18T10:00:00+05:30
ptm_f8f5504a,poi_c0128d7d,poi_3ca0d3de,cab,13,2.591,0.443,72.06,INR,304,2026-08-18T10:00:00+05:30
ptm_b6bbce84,poi_c0128d7d,poi_d052fde5,walk,44,3.252,0,0.00,INR,221,2026-08-18T10:00:00+05:30
ptm_c6a745b6,poi_c0128d7d,poi_d052fde5,cab,15,3.252,0.556,83.29,INR,221,2026-08-18T10:00:00+05:30
ptm_d9688a42,poi_c0128d7d,poi_1559dff8,cab,45,12.894,2.205,247.19,INR,231,2026-08-18T10:00:00+05:30
ptm_df4274ef,poi_c0128d7d,poi_6b45f5d8,cab,23,5.72,0.978,125.24,INR,276,2026-08-18T10:00:00+05:30
ptm_8f473498,poi_78eecc44,poi_39c95ec6,cab,25,6.36,1.088,136.12,INR,82,2026-08-18T10:00:00+05:30
ptm_4498450c,poi_78eecc44,poi_c0128d7d,cab,27,7.223,1.235,150.80,INR,59,2026-08-18T10:00:00+05:30
ptm_ccd3c88b,poi_78eecc44,poi_6949e353,cab,26,6.953,1.189,146.20,INR,161,2026-08-18T10:00:00+05:30
ptm_1edd5278,poi_78eecc44,poi_9e725958,cab,34,9.338,1.597,186.75,INR,18,2026-08-18T10:00:00+05:30
ptm_29b39893,poi_78eecc44,poi_7d81053b,cab,27,7.184,1.228,150.13,INR,57,2026-08-18T10:00:00+05:30
ptm_1f5f6229,poi_78eecc44,poi_3ca0d3de,cab,25,6.561,1.122,139.54,INR,38,2026-08-18T10:00:00+05:30
ptm_987fbbe4,poi_78eecc44,poi_d052fde5,walk,57,4.232,0,0.00,INR,72,2026-08-18T10:00:00+05:30
ptm_f30cb5ce,poi_78eecc44,poi_d052fde5,cab,18,4.232,0.724,99.94,INR,72,2026-08-18T10:00:00+05:30
ptm_bb054549,poi_78eecc44,poi_1559dff8,cab,23,5.804,0.992,126.67,INR,222,2026-08-18T10:00:00+05:30
ptm_1958c891,poi_78eecc44,poi_6b45f5d8,walk,58,4.315,0,0.00,INR,6,2026-08-18T10:00:00+05:30
ptm_7d3d2258,poi_78eecc44,poi_6b45f5d8,cab,18,4.315,0.738,101.36,INR,6,2026-08-18T10:00:00+05:30
ptm_95622103,poi_6949e353,poi_39c95ec6,cab,31,8.483,1.451,172.21,INR,29,2026-08-18T10:00:00+05:30
ptm_fe8307fa,poi_6949e353,poi_c0128d7d,cab,39,11.042,1.888,215.71,INR,21,2026-08-18T10:00:00+05:30
ptm_21332620,poi_6949e353,poi_78eecc44,cab,26,6.953,1.189,146.20,INR,341,2026-08-18T10:00:00+05:30
ptm_2c044acc,poi_6949e353,poi_9e725958,cab,53,15.466,2.645,290.93,INR,2,2026-08-18T10:00:00+05:30
ptm_a16b52ee,poi_6949e353,poi_7d81053b,cab,40,11.17,1.91,217.89,INR,20,2026-08-18T10:00:00+05:30
ptm_20d80558,poi_6949e353,poi_3ca0d3de,cab,42,11.893,2.034,230.18,INR,9,2026-08-18T10:00:00+05:30
ptm_86c9c6f3,poi_6949e353,poi_d052fde5,cab,30,8.079,1.382,165.34,INR,13,2026-08-18T10:00:00+05:30
ptm_8ba6922c,poi_6949e353,poi_1559dff8,cab,25,6.567,1.123,139.64,INR,290,2026-08-18T10:00:00+05:30
ptm_3ea2429d,poi_6949e353,poi_6b45f5d8,cab,39,11.009,1.883,215.15,INR,351,2026-08-18T10:00:00+05:30
ptm_08088e2b,poi_9e725958,poi_39c95ec6,cab,32,8.687,1.486,175.68,INR,157,2026-08-18T10:00:00+05:30
ptm_134e2c3f,poi_9e725958,poi_c0128d7d,cab,24,6.087,1.041,131.48,INR,147,2026-08-18T10:00:00+05:30
ptm_0d40ab3d,poi_9e725958,poi_78eecc44,cab,34,9.338,1.597,186.75,INR,198,2026-08-18T10:00:00+05:30
ptm_27ad8a41,poi_9e725958,poi_6949e353,cab,53,15.466,2.645,290.93,INR,182,2026-08-18T10:00:00+05:30
ptm_91cfac42,poi_9e725958,poi_7d81053b,cab,23,5.825,0.996,127.03,INR,148,2026-08-18T10:00:00+05:30
ptm_27b2dfc8,poi_9e725958,poi_3ca0d3de,walk,52,3.858,0,0.00,INR,163,2026-08-18T10:00:00+05:30
ptm_de942f4e,poi_9e725958,poi_3ca0d3de,cab,17,3.858,0.66,93.59,INR,163,2026-08-18T10:00:00+05:30
ptm_54738494,poi_9e725958,poi_d052fde5,cab,29,7.653,1.309,158.10,INR,172,2026-08-18T10:00:00+05:30
ptm_1080af1d,poi_9e725958,poi_1559dff8,cab,51,14.825,2.535,280.03,INR,207,2026-08-18T10:00:00+05:30
ptm_a768aad3,poi_9e725958,poi_6b45f5d8,cab,21,5.186,0.887,116.17,INR,208,2026-08-18T10:00:00+05:30
ptm_d0963861,poi_7d81053b,poi_39c95ec6,walk,42,3.079,0,0.00,INR,175,2026-08-18T10:00:00+05:30
ptm_e80deb37,poi_7d81053b,poi_39c95ec6,cab,14,3.079,0.527,80.34,INR,175,2026-08-18T10:00:00+05:30
ptm_cdfc01b0,poi_7d81053b,poi_c0128d7d,walk,5,0.265,0,0.00,INR,139,2026-08-18T10:00:00+05:30
ptm_b0249787,poi_7d81053b,poi_c0128d7d,cab,5,0.265,0.045,32.50,INR,139,2026-08-18T10:00:00+05:30
ptm_d86b8517,poi_7d81053b,poi_78eecc44,cab,27,7.184,1.228,150.13,INR,237,2026-08-18T10:00:00+05:30
ptm_8275ec40,poi_7d81053b,poi_6949e353,cab,40,11.17,1.91,217.89,INR,200,2026-08-18T10:00:00+05:30
ptm_d19cb2a7,poi_7d81053b,poi_9e725958,cab,23,5.825,0.996,127.03,INR,328,2026-08-18T10:00:00+05:30
ptm_77e079a5,poi_7d81053b,poi_3ca0d3de,walk,32,2.337,0,0.00,INR,302,2026-08-18T10:00:00+05:30
ptm_779c737e,poi_7d81053b,poi_3ca0d3de,cab,12,2.337,0.4,67.73,INR,302,2026-08-18T10:00:00+05:30
ptm_bd7abe97,poi_7d81053b,poi_d052fde5,walk,45,3.298,0,0.00,INR,217,2026-08-18T10:00:00+05:30
ptm_1cfe8333,poi_7d81053b,poi_d052fde5,cab,15,3.298,0.564,84.07,INR,217,2026-08-18T10:00:00+05:30
ptm_73f7aeb1,poi_7d81053b,poi_1559dff8,cab,45,12.886,2.204,247.06,INR,230,2026-08-18T10:00:00+05:30
ptm_35872ec6,poi_7d81053b,poi_6b45f5d8,cab,22,5.532,0.946,122.04,INR,274,2026-08-18T10:00:00+05:30
ptm_819e84ed,poi_3ca0d3de,poi_39c95ec6,cab,20,4.869,0.833,110.77,INR,152,2026-08-18T10:00:00+05:30
ptm_36b8b0a7,poi_3ca0d3de,poi_c0128d7d,walk,35,2.591,0,0.00,INR,124,2026-08-18T10:00:00+05:30
ptm_2be3565a,poi_3ca0d3de,poi_c0128d7d,cab,13,2.591,0.443,72.06,INR,124,2026-08-18T10:00:00+05:30
ptm_34cfc559,poi_3ca0d3de,poi_78eecc44,cab,25,6.561,1.122,139.54,INR,218,2026-08-18T10:00:00+05:30
ptm_fb1ea2bd,poi_3ca0d3de,poi_6949e353,cab,42,11.893,2.034,230.18,INR,189,2026-08-18T10:00:00+05:30
ptm_e192a600,poi_3ca0d3de,poi_9e725958,walk,52,3.858,0,0.00,INR,343,2026-08-18T10:00:00+05:30
ptm_e4b8e4d2,poi_3ca0d3de,poi_9e725958,cab,17,3.858,0.66,93.59,INR,343,2026-08-18T10:00:00+05:30
ptm_3a92547c,poi_3ca0d3de,poi_7d81053b,walk,32,2.337,0,0.00,INR,122,2026-08-18T10:00:00+05:30
ptm_53efde89,poi_3ca0d3de,poi_7d81053b,cab,12,2.337,0.4,67.73,INR,122,2026-08-18T10:00:00+05:30
ptm_3727e7d6,poi_3ca0d3de,poi_d052fde5,walk,52,3.878,0,0.00,INR,180,2026-08-18T10:00:00+05:30
ptm_1a15f6d5,poi_3ca0d3de,poi_d052fde5,cab,17,3.878,0.663,93.93,INR,180,2026-08-18T10:00:00+05:30
ptm_9309846d,poi_3ca0d3de,poi_1559dff8,cab,44,12.356,2.113,238.04,INR,220,2026-08-18T10:00:00+05:30
ptm_cba37372,poi_3ca0d3de,poi_6b45f5d8,walk,49,3.651,0,0.00,INR,256,2026-08-18T10:00:00+05:30
ptm_afcdd7f1,poi_3ca0d3de,poi_6b45f5d8,cab,16,3.651,0.624,90.06,INR,256,2026-08-18T10:00:00+05:30
ptm_0bb8ed46,poi_d052fde5,poi_39c95ec6,walk,32,2.313,0,0.00,INR,101,2026-08-18T10:00:00+05:30
ptm_2710d837,poi_d052fde5,poi_39c95ec6,cab,12,2.313,0.395,67.32,INR,101,2026-08-18T10:00:00+05:30
ptm_07770ccc,poi_d052fde5,poi_c0128d7d,walk,44,3.252,0,0.00,INR,41,2026-08-18T10:00:00+05:30
ptm_ae563597,poi_d052fde5,poi_c0128d7d,cab,15,3.252,0.556,83.29,INR,41,2026-08-18T10:00:00+05:30
ptm_7f393f51,poi_d052fde5,poi_78eecc44,walk,57,4.232,0,0.00,INR,252,2026-08-18T10:00:00+05:30
ptm_e67cc97f,poi_d052fde5,poi_78eecc44,cab,18,4.232,0.724,99.94,INR,252,2026-08-18T10:00:00+05:30
ptm_c413108d,poi_d052fde5,poi_6949e353,cab,30,8.079,1.382,165.34,INR,193,2026-08-18T10:00:00+05:30
ptm_6ec37f5c,poi_d052fde5,poi_9e725958,cab,29,7.653,1.309,158.10,INR,352,2026-08-18T10:00:00+05:30
ptm_c5386a50,poi_d052fde5,poi_7d81053b,walk,45,3.298,0,0.00,INR,37,2026-08-18T10:00:00+05:30
ptm_78092d05,poi_d052fde5,poi_7d81053b,cab,15,3.298,0.564,84.07,INR,37,2026-08-18T10:00:00+05:30
ptm_6bde29a3,poi_d052fde5,poi_3ca0d3de,walk,52,3.878,0,0.00,INR,360,2026-08-18T10:00:00+05:30
ptm_9fc46f77,poi_d052fde5,poi_3ca0d3de,cab,17,3.878,0.663,93.93,INR,360,2026-08-18T10:00:00+05:30
ptm_106b90d0,poi_d052fde5,poi_1559dff8,cab,35,9.707,1.66,193.02,INR,235,2026-08-18T10:00:00+05:30
ptm_7104d426,poi_d052fde5,poi_6b45f5d8,cab,19,4.631,0.792,106.73,INR,310,2026-08-18T10:00:00+05:30
ptm_605ec606,poi_1559dff8,poi_39c95ec6,cab,41,11.439,1.956,222.47,INR,63,2026-08-18T10:00:00+05:30
ptm_e49722eb,poi_1559dff8,poi_c0128d7d,cab,45,12.894,2.205,247.19,INR,51,2026-08-18T10:00:00+05:30
ptm_e67f9d7c,poi_1559dff8,poi_78eecc44,cab,23,5.804,0.992,126.67,INR,42,2026-08-18T10:00:00+05:30
ptm_8b5e166e,poi_1559dff8,poi_6949e353,cab,25,6.567,1.123,139.64,INR,110,2026-08-18T10:00:00+05:30
ptm_3028a356,poi_1559dff8,poi_9e725958,cab,51,14.825,2.535,280.03,INR,27,2026-08-18T10:00:00+05:30
ptm_94af550c,poi_1559dff8,poi_7d81053b,cab,45,12.886,2.204,247.06,INR,50,2026-08-18T10:00:00+05:30
