scene_id,entity_type,entity_id,city_id,name,scene_type,default_yaw_deg,default_pitch_deg,real_scale_metres,total_bytes,supports_webxr,supports_ar_placement,fallback_media_id,licence,status,updated_at
xrs_78b4edc6,poi,poi_f2bc64a8,cty_cf1c6ac5,Lighthouse Beach — immersive preview,video_360,90,0,,12934386,0,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_a3f8f386,poi,poi_2b00dd1d,cty_aa759717,Textile Museum — immersive preview,panorama_360,287,4,,17952057,1,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_185685a9,poi,poi_7bd45bdd,cty_d35a9652,Fishermen's Cove — immersive preview,panorama_360,328,-6,24.76,24834882,1,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_fe6e6238,poi,poi_c3285efc,cty_caf3c1ee,Butterfly Reserve — immersive preview,panorama_360,172,-2,29.19,1468030,1,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_c5090381,poi,poi_abed8837,cty_7be8559f,Riverside Lounge — immersive preview,photogrammetry,85,10,10.47,3069584,1,1,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_ee592be3,poi,poi_6949e353,cty_5d572c8a,Great Mosque of Udaipur — immersive preview,model_3d,172,-5,33.27,6021907,0,1,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_80965228,poi,poi_6532241a,cty_79cbc59b,Cliff Walk — immersive preview,panorama_360,224,3,,10389213,0,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_296cebca,poi,poi_132d3868,cty_95d040d8,Cliff Walk — immersive preview,model_3d,23,6,22.36,13019032,1,1,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_8bf25b04,poi,poi_fb892134,cty_a5f16904,Cycling Loop — immersive preview,panorama_360,176,4,37.38,18135984,0,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_dc61ec75,poi,poi_cbc7b76a,cty_cfec17b6,Hot Springs — immersive preview,panorama_360,167,6,,24936856,0,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_a433d821,poi,poi_7213a07d,cty_32e8e65c,Quiet Bay — immersive preview,model_3d,337,-2,30.42,1390753,0,1,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_9638bc10,poi,poi_09155f8c,cty_32e8e65c,Quiet Bay — immersive preview,model_3d,18,-7,12.6,3129012,1,1,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_5dac1a0e,poi,poi_b52743ff,cty_b6ccbb3b,Elephant Camp — immersive preview,model_3d,210,-8,28.37,6139290,1,1,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_361cedf3,poi,poi_c806ff41,cty_828a7777,Chhatri Complex — immersive preview,panorama_360,185,-9,,10495176,1,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_182d6067,poi,poi_6a46e565,cty_1ced6ede,North Beach — immersive preview,panorama_360,31,-2,26.05,12815935,1,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_47402ff2,poi,poi_091fe344,cty_828a7777,Srinagar Lake — immersive preview,panorama_360,127,7,5.33,18233164,1,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_7d6b34f8,poi,poi_493eac5b,cty_009c9fd2,"St Mary's Church, Kandy — immersive preview",panorama_360,325,3,9.44,24826394,1,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_71a39b5e,poi,poi_48787ec6,cty_95d040d8,Zipline Point — immersive preview,panorama_360,254,-8,,1447750,1,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_6a4ba46d,poi,poi_c54e9c8a,cty_6320eea9,Cliff Walk — immersive preview,panorama_360,35,-1,31.54,3471703,0,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_b510b8ff,poi,poi_d607a9e8,cty_076e8e86,Yoga Shala — immersive preview,panorama_360,308,-3,13.33,5725435,0,0,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
xrs_8dac05fa,poi,poi_be89732e,cty_ab50efee,Hot Springs — immersive preview,model_3d,112,10,7.73,10543438,1,1,,synthetic_cc0,active,2026-08-18T10:00:00+05:30
